117	7	5	2021
117	26	5	2021
117	8	5	2021
117	14	5	2021
118	159	5	2020
118	171	5	2020
118	14	5	2020
118	41	5	2020
118	161	5	2020
118	172	5	2020
119	5	5	2020
119	160	5	2020
119	14	5	2020
120	29	5	2021
120	7	5	2021
121	173	5	2020
121	5	5	2020
121	174	5	2020
121	175	5	2020
121	176	5	2020
121	15	5	2020
122	177	5	2020
122	178	5	2020
122	179	5	2020
123	24	5	2020
123	84	5	2020
123	14	5	2020
124	23	5	2021
124	5	5	2021
125	52	5	2020
125	56	5	2020
125	166	5	2020
126	181	5	2021
126	5	5	2021
126	174	5	2021
126	176	5	2021
126	182	5	2021
126	15	5	2021
128	5	5	2020
128	7	5	2020
128	159	5	2020
128	14	5	2020
128	184	5	2020
128	122	5	2020
128	14	5	2020
128	185	5	2020
128	142	5	2020
132	5	5	2021
132	7	5	2021
132	8	5	2021
132	26	5	2021
132	14	5	2021
133	24	5	2020
133	186	5	2020
133	92	5	2020
133	93	5	2020
133	103	5	2020
133	126	5	2020
133	79	5	2020
134	5	5	2021
134	7	5	2021
135	24	5	2020
135	7	5	2020
135	14	5	2020
135	187	5	2020
135	176	5	2020
135	188	5	2020
136	7	5	2021
136	188	5	2021
136	189	5	2021
138	23	5	2021
138	4	5	2021
138	3	5	2021
138	5	5	2021
138	29	5	2021
138	28	5	2021
138	7	5	2021
139	44	5	2021
139	93	5	2021
139	25	5	2021
139	14	5	2021
142	76	5	2021
142	63	5	2021
142	64	5	2021
142	79	5	2021
142	78	5	2021
142	80	5	2021
142	110	5	2021
143	23	5	2021
143	7	5	2021
143	5	5	2021
143	188	5	2021
143	189	5	2021
144	5	5	2021
144	34	5	2021
144	193	5	2021
144	194	5	2021
144	195	5	2021
144	196	5	2021
144	14	5	2021
144	191	5	2021
144	15	5	2021
145	5	5	2020
145	18	5	2020
145	34	5	2020
146	44	5	2021
146	7	5	2021
146	79	5	2021
147	66	5	2021
147	57	5	2021
147	198	5	2021
147	140	5	2021
147	8	5	2021
148	4	5	2021
148	52	5	2021
148	55	5	2021
148	82	5	2021
148	146	5	2021
148	152	5	2021
150	24	5	2020
150	15	5	2020
150	63	5	2020
150	93	5	2020
150	90	5	2020
150	192	5	2020
151	24	5	2021
151	40	5	2021
151	160	5	2021
151	8	5	2021
151	27	5	2021
151	14	5	2021
151	191	5	2021
152	15	5	2021
152	14	5	2021
152	27	5	2021
153	119	5	2021
153	40	5	2021
153	7	5	2021
153	33	5	2021
153	3	5	2021
153	202	5	2021
153	120	5	2021
153	121	5	2021
153	14	5	2021
153	122	5	2021
153	123	5	2021
153	14	5	2021
154	80	5	2021
154	15	5	2021
154	56	5	2021
154	52	5	2021
154	110	5	2021
154	112	5	2021
155	24	5	2021
155	7	5	2021
155	25	5	2021
155	26	5	2021
155	8	5	2021
155	27	5	2021
155	16	5	2021
155	37	5	2021
155	14	5	2021
156	7	5	2021
156	15	5	2021
156	34	5	2021
156	165	5	2021
156	94	5	2021
