paper_id,models,link,title,year
937,FORWARD;BACKWARD;TOP1;TOP2;PRME;PRMEG;RNN;LSTM;GRU;STRNN;PACE;BISTDDP,https://arxiv.org/pdf/2201.00014,Exploiting Bi-directional Global Transition Patterns and Personal Preferences for Missing POI Category Identification,2021
938,DIRRNN;SHERLOCK;HIEVH;RNN;RANDOM,https://arxiv.org/pdf/2008.07178,Disentangled Item Representation for Recommender Systems,2021
939,TOP;NMF;FPMC;HRM;DREAM;ANAM;IERT,https://arxiv.org/pdf/1904.12604,Pre-training of Context-aware Item Representation for Next Basket Recommendation,2019
940,PP;MHP;GBDT;RF;LR;CRF;CTMC;HCPNN;NEMO;TACTP,https://bigdata.ustc.edu.cn/paper_pdf/2021/Chao-Wang-WWW.pdf,Variable Interval Time Sequence Modeling for Career Trajectory Prediction: Deep Collaborative Perspective,2021
941,FPMC;STRNN;DRCF;CASER;CAPRF;CAPE,https://epubs.siam.org/doi/pdf/10.1137/1.9781611976236.12,Content-Aware Successive Point-of-Interest Recommendation,2020
942,AUTOENCODER;BPRMF;WRMF;SEMAUTO,https://sisinflab.poliba.it/publications/2020/ABDD20/2020_Anelli_KG4XAI2020.pdf,Knowledge-aware Interpretable Recommender Systems,2020
943,KFREQUENT;KNEAREST;MLP;CC;SGM;LEAP;GAMENET;COMPNET,https://staff.fnwi.uva.nl/m.derijke/wp-content/papercite-data/pdf/wang-2019-order-free.pdf,Order-free Medicine Combination Prediction with Graph Convolutional Reinforcement Learning,2019
944,POP;NRT;DVBPR;SETRNN;IBR;BPRDAE;NOR,https://arxiv.org/pdf/1806.08977,Explainable Outfit Recommendation with Joint Outfit Matching and Comment Generation,2019
945,POPREC;BPR;GRU4REC;SASREC;GCSAN;CASER;BERT4REC;IRGAN;RECGAN;AOS3RECR;AOS4RECT,https://www.ijcai.org/Proceedings/2020/0264.pdf,Adversarial Oracular Seq2seq Learning for Sequential Recommendation,2021
946,EALS;BPR;SLIM;CLIMF;PMF;GRU4REC;INFPUSH;P3STOP,https://arxiv.org/pdf/1706.06716,Click-aware Purchase Prediction with Push at the Top,2020
